Hostname,RunList
compcontainerssao0101c.softlayer.local,"role[compute_kubernetes]"
compcontainerssao0401a.softlayer.local,"role[compute_kubernetes]"
compcontainerssao0401b.softlayer.local,"role[compute_kubernetes]"
compcontainerssao0401c.softlayer.local,"role[compute_kubernetes]"
compcontainerssao0501a.softlayer.local,"role[compute_kubernetes]"
compcontainerssao0501b.softlayer.local,"role[compute_kubernetes]"
compcontainerssao0501c.softlayer.local,"role[compute_kubernetes]"
compcontainersstgdal0901a.softlayer.local,"role[compute_kubernetes]"
compcontainersstgdal0901b.softlayer.local,"role[compute_kubernetes]"
compcontainersstgdal0901c.softlayer.local,"role[compute_kubernetes]"
compcontainersstgdal1301a.softlayer.local,"role[compute_kubernetes]"
compcontainersstgdal1301b.softlayer.local,"role[compute_kubernetes]"
compcontainersstgdal1301c.softlayer.local,"role[compute_kubernetes]"
compcontainerssyd0101a.softlayer.local,"role[compute_kubernetes]"
compcontainerssyd0101b.softlayer.local,"role[compute_kubernetes]"
compcontainerssyd0101c.softlayer.local,"role[compute_kubernetes]"
compcontainerssyd0401a.softlayer.local,"role[compute_kubernetes]"
compcontainerssyd0401b.softlayer.local,"role[compute_kubernetes]"
compcontainerssyd0401c.softlayer.local,"role[compute_kubernetes]"
compcontainerssyd0501a.softlayer.local,"role[compute_kubernetes]"
compcontainerssyd0501b.softlayer.local,"role[compute_kubernetes]"
compcontainerssyd0501c.softlayer.local,"role[compute_kubernetes]"
compcontainerstok0201a.softlayer.local,"role[compute_kubernetes]"
compcontainerstok0201b.softlayer.local,"role[compute_kubernetes]"
compcontainerstok0201c.softlayer.local,"role[compute_kubernetes]"
compcontainerstok0401a.softlayer.local,"role[compute_kubernetes]"
compcontainerstok0401b.softlayer.local,"role[compute_kubernetes]"
compcontainerstok0401c.softlayer.local,"role[compute_kubernetes]"
compcontainerstok0501a.softlayer.local,"role[compute_kubernetes]"
compcontainerstok0501b.softlayer.local,"role[compute_kubernetes]"
compcontainerstok0501c.softlayer.local,"role[compute_kubernetes]"
compcontainerstor0101a.softlayer.local,"role[compute_kubernetes]"
compcontainerstor0101b.softlayer.local,"role[compute_kubernetes]"
compcontainerstor0101c.softlayer.local,"role[compute_kubernetes]"
compcontainerstor0401a.softlayer.local,"role[compute_kubernetes]"
compcontainerstor0401b.softlayer.local,"role[compute_kubernetes]"
compcontainerstor0401c.softlayer.local,"role[compute_kubernetes]"
compcontainerstor0501a.softlayer.local,"role[compute_kubernetes]"
compcontainerstor0501b.softlayer.local,"role[compute_kubernetes]"
compcontainerstor0501c.softlayer.local,"role[compute_kubernetes]"
compcontainerswdc0401a.softlayer.local,"role[compute_kubernetes]"
compcontainerswdc0401b.softlayer.local,"role[compute_kubernetes]"
compcontainerswdc0401c.softlayer.local,"role[compute_kubernetes]"
compcontainerswdc0601a.softlayer.local,"role[compute_kubernetes]"
compcontainerswdc0601b.softlayer.local,"role[compute_kubernetes]"
compcontainerswdc0601c.softlayer.local,"role[compute_kubernetes]"
compcontainerswdc0701a.softlayer.local,"role[compute_kubernetes]"
compcontainerswdc0701b.softlayer.local,"role[compute_kubernetes]"
compcontainerswdc0701c.softlayer.local,"role[compute_kubernetes]"
compdepldal1001.softlayer.local,"role[compute_depl]"
compdeplfra0201.softlayer.local,"role[compute_depl]"
compdepllon0401.softlayer.local,"role[compute_depl]"
compdeplmad0201.softlayer.local,"role[compute_depl]"
compdeplosa2101.softlayer.local,"role[compute_depl]"
compdeplpar0401.softlayer.local,"role[compute_depl]"
compdeplsao0101.softlayer.local,"role[compute_depl]"
compdeplsyd0101.softlayer.local,"role[compute_depl], recipe[crowdstrike]"
compdepltok0201.softlayer.local,"role[compute_depl]"
compdepltor0101.softlayer.local,"role[compute_depl]"
compdepltstdal0901.softlayer.local,"role[compute_depl]"
compdeplwdc0401.softlayer.local,"role[compute_depl]"
compjenkinststdal0901.softlayer.local,"role[compute_build]"
compkubemasterdal1001a.softlayer.local,"role[compute_kubernetes]"
compkubemasterdal1201a.softlayer.local,"role[compute_kubernetes]"
compkubemasterdal1301a.softlayer.local,"role[compute_kubernetes]"
compkubemasterdevdal0901a.softlayer.local,"role[compute_kubernetes], recipe[uptycs]"
compkubemasterdevdal0901b.softlayer.local,"role[compute_kubernetes], recipe[uptycs]"
compkubemasterdevdal0901c.softlayer.local,"role[compute_kubernetes], recipe[uptycs]"
compkubemasterfra0201a.softlayer.local,"role[compute_kubernetes]"
compkubemasterfra0401a.softlayer.local,"role[compute_kubernetes]"
compkubemasterfra0501a.softlayer.local,"role[compute_kubernetes]"
compkubemasterlon0201a.softlayer.local,"role[compute_kubernetes]"
compkubemasterlon0401a.softlayer.local,"role[compute_kubernetes]"
compkubemasterlon0501a.softlayer.local,"role[compute_kubernetes]"
compkubemastermad0201a.softlayer.local,"role[compute_kubernetes]"
compkubemastermad0401a.softlayer.local,"role[compute_kubernetes]"
compkubemastermad0501a.softlayer.local,"role[compute_kubernetes]"
compkubemasterosa2101a.softlayer.local,"role[compute_kubernetes]"
compkubemasterosa2201a.softlayer.local,"role[compute_kubernetes]"
compkubemasterosa2301a.softlayer.local,"role[compute_kubernetes]"
compkubemasterpar0401a.softlayer.local,"role[compute_kubernetes]"
compkubemasterpar0501a.softlayer.local,"role[compute_kubernetes]"
compkubemasterpar0601a.softlayer.local,"role[compute_kubernetes]"
compkubemastersao0101a.softlayer.local,"role[compute_kubernetes]"
compkubemastersao0401a.softlayer.local,"role[compute_kubernetes]"
compkubemastersao0501a.softlayer.local,"role[compute_kubernetes]"
compkubemasterstgdal0901a.softlayer.local,"role[compute_kubernetes]"
compkubemasterstgdal0901b.softlayer.local,"role[compute_kubernetes]"
compkubemasterstgdal0901c.softlayer.local,"role[compute_kubernetes]"
compkubemasterstgdal1001a.softlayer.local,"role[compute_kubernetes]"
compkubemasterstgdal1201a.softlayer.local,"role[compute_kubernetes]"
compkubemasterstgdal1301a.softlayer.local,"role[compute_kubernetes]"
compkubemastersyd0101a.softlayer.local,"role[compute_kubernetes]"
compkubemastersyd0401a.softlayer.local,"role[compute_kubernetes]"
compkubemastersyd0501a.softlayer.local,"role[compute_kubernetes]"
compkubemastertok0201a.softlayer.local,"role[compute_kubernetes]"
compkubemastertok0401a.softlayer.local,"role[compute_kubernetes]"
compkubemastertok0501a.softlayer.local,"role[compute_kubernetes]"
compkubemastertor0101a.softlayer.local,"role[compute_kubernetes]"
compkubemastertor0401a.softlayer.local,"role[compute_kubernetes]"
compkubemastertor0501a.softlayer.local,"role[compute_kubernetes]"
compkubemasterwdc0401a.softlayer.local,"role[compute_kubernetes]"
compkubemasterwdc0601a.softlayer.local,"role[compute_kubernetes]"
compkubemasterwdc0701a.softlayer.local,"role[compute_kubernetes]"
comppodmantstdal0901.softlayer.local,"role[compute_podman]"
confdbdal1001b.softlayer.local,"role[is_confluencedb_test]"
confdbdal1002a.softlayer.local,"role[is_confluencedb]"
confdbdal1002b.softlayer.local,"role[is_confluencedb]"
confdcdal1001b.softlayer.local,"role[is_confluence]"
confdcdal1002a.softlayer.local,"role[confluence_datacenter]"
confdcdal1002b.softlayer.local,"role[confluence_datacenter]"
configsvrdal1001a.softlayer.local,"role[configsvr_prod_corp_dal10]"
configsvrdal1001b.softlayer.local,"role[configsvr_prod_corp_dal10]"
crowdstrikeproxyams0301.softlayer.local,"role[cs_proxy]"
crowdstrikeproxydal1301.softlayer.local,"role[cs_proxy]"
crowdstrikeproxypar0101.softlayer.local,"role[hastebin_server]"
crowdstrikeproxypar0401.softlayer.local,"role[cs_proxy]"
crowdstrikeproxytor0401.softlayer.local,"role[cs_proxy]"
dcimutilitydal1201.softlayer.local,"role[is_dcimutility]"
deploydbdal1202a.softlayer.local,"role[fabric_deploydb_dal1202], role[stigs_feature_gates]"
deploydbdal1202b.softlayer.local,"role[fabric_deploydb_dal1202], role[stigs_feature_gates]"
deploydbdal1202c.softlayer.local,"role[fabric_deploydb_dal1202], role[stigs_feature_gates]"
deploydbdal1202d.softlayer.local,"role[fabric_deploydb_dal1202], role[stigs_feature_gates]"
deploymentdal1001.softlayer.local,"role[fabric_deployment_dal10], role[stigs_feature_gates]"
deploymentdal1201a.softlayer.local,"role[fabric_deployment_dal12], role[stigs_feature_gates]"
